ISBN,Book-Title,Book-Author,Mean-Rating,altered_title
192379874,Environmental Engineering,Dr. Ravikant Pagnis,3,"engineering,civil,semester 6,environment"
192379876,Biological Process and Contamination Removal,Dr. Ravikant Pagnis,4,"engineering,civil,semester 6,biological,contamination"
192379877,Solid and Hazardous Waste Management,J. S. kadgoankar,3,"engineering,civil,semester 7,solid,hazardous,waste"
192379878,Design and Drawing of Reinforced Structures,Jitendra D. Dalvi,4,"engineering,civil,semester 7,drawing,reinforced,design"
192379879,Applied Hydrology and Flood Control,Nameeta S. Sane,4,"engineering,civil,semester 7,hydrology,flood,control"
192379880.4,"Quantity Survey, Estimation and Valuation",Dr. Sunil B. Thackare,3,"engineering,civil,semester 7,quantity,survey,estimation,value"
192379881.6,Smart Buildings Materials,Pravin R. Minde,3,"engineering,civil,semester 8,smart,buildings,materials"
192379882.8,"Repairs,Rehabilitation and Retrofitting of Structures",Vikrant P. Kothari,4,"engineering,civil,semester 8,repairs,retrofitting,structures,rehabilitaion"
192379884,Industrial Waste Management,Dr. Ravikant Pagnis,3,"engineering,civil,semester 8,industrial,waste"
192379885.2,Transportation System Engineering,Sagar R. Chavan,4,"engineering,civil,semester 8,transportaion,system"
192379886.4,Construction Management,Pravin R. Minde,3,"engineering,civil,semester 8,construction,management"
192379887.6,Design of Hydraulic Structures,Nameeta S. Sane,4,"engineering,civil,semester 8,design,hydraulics,structures"
192379888.8,Construction Safety,Abhaysinha G. shelake,3,"engineering,civil,semester 8.construction,safety"
192379890,Fundamentals of Electrical Machines and Measurements,JS Katre,4,"engineering,electrical,semester 3,electrical machines,measurement"
192379891.2,Electrical Power System -1,S. M. Choudhari,3,"engineering,electrical,semester 3,power,system"
192379892.4,Analog Electronics,JS Katre,3,"engineering,electrical,semester 3.analog"
192379893.6,Power Electronic Devices and Circuits,JS Katre,3,"engineering,electrical,semester 4,circuits,power"
192379894.8,Electrical AC Machines-1,S. M. Choudhari,4,"engineering,electrical,semester 4,ac,machines"
192379896,Digital Electronics,JS Katre,3,"engineering,electrical,semester 4,digital"
192379897.2,Electromagnetic field and Wave,S. Gopal,3,"engineering,electrical,semester 5,wave,electromagnetic,field"
192379898.4,Electrical AC Machines-2,S. M. Choudhari,4,"engineering,electrical,semester 5,machines,ac"
192379899.6,Analog and Digital Communication,JS Katre,3,"engineering,electrical,semester 5,analog,digital,communication"
192379900.8,Control Systems,Dr. Dhananjay K. Theckedath,3,"engineering,electrical,semester 5,control,systems"
192379902,Electrical Power System -2,M. A. Chaudhari,2,"engineering,electrical,semester 6,power,system"
192379903.2,High Voltage Engineering,S. M. Shaikh,3,"engineering,electrical,semester 6,voltage,high"
192379904.4,Control System Design,Bhushan P. Joshi,4,"engineering,electrical,semester 6,control,system"
192379905.6,Signal and Systems,Dr. Dhananjay K. Theckedath,3,"engineering,electrical,semester 6,signal, systems"
634634734,Object Oriented Programming With Java,Harish G. Narula,4,"engineering,computer,semester 3,object oriented,oops"
636346545,Digital Logic & Comp Organization & Architecture,"J.S.Katre,Harish G Narula",3,"engineering,computer,semester 3,digital logic,architecture"
636346546,Object Oriented Programming Methodology (For Practicals And Lab ),Harish G. Narula,4,"engineering,computer,semester 3,object oriented,oops"
636346547,Data Structure,Dilip Kumar Sultania,2,"engineering,computer,semester 3,dsa,data structure"
636346548,Discrete Structures And Graph Theory,Bhakti Raul-Palkar,3,"engineering,computer,semester 3,discrete,graph theory"
636346549,Computer Graphics,Dr. Mahesh M Goyani,5,"engineering,computer,semester 3,graphics"
636346550,Engineering Mathematics – III,Dr. Narendrakumar R. Dasre,3,"engineering,computer,semester 3,em 3,maths 3, information technology, civil, electrical, mechanical, electronic and telecommunication, electrical"
636346551,Engineering Mathematics – IV,Dr. Narendrakumar R. Dasre,2,"engineering,computer,semester 4,em 4,maths 4, information technology, civil, electrical, mechanical, electronic and telecommunication, electrical"
636346552,Analysis Of Algorithms,Dr. Mahesh M. Goyani,3,"engineering,computer,semester 4,algorithms"
636346553,Database Management System,Prof. Mahesh Mali,5,"engineering,computer,semester 4,dbms"
636346554,Operating System,Dr. Rajesh D. Kadu,3,"engineering,computer,semester 4,os,information technology"
636346555,Microprocessor,Harish G. Narula,2,"engineering,computer,semester 4,processor,mp,information technology"
636346556,Theoretical Computer Science,Dilip Kumar Sultania,3,"engineering,computer,semester 5,computer science"
636346557,Data Warehousing And Mining,Dr. Arti Deshpande,3,"engineering,computer,semester 5,mining,warehousing"
636346558,Computer Network,J. S. Katre,2,"engineering,computer,semester 5,network"
636346559,Software Engineering,M. A. Ansari,3,"engineering,computer,semester 5,engineering"
636346560,Probabilistic Graphical Models,Prof. Pradnya Patil,2,"engineering,computer,semester 5,graphical models"
636346561,Advance Database Management System,Prof. Mahesh Mali,4,"engineering,computer,semester 5,dbms,database"
636346562,Mobile Computing,Dipali Y. Koshti,3,"engineering,computer,semester 6,computing"
636346563,Internet Of Things,Pravin Goyal,2,"engineering,computer,semester 6,iot"
636346564,Cryptography And System Security,Pravin Goyal,4,"engineering,computer,semester 6,system,security"
636346565,System Programming And Compiler Construction,Shweta A. Loonkar,2,"engineering,computer,semester 6,compiler construction"
636346566,Artificial Intelligence,Prof. Purva Raut,3,"engineering,computer,semester 6,ai"
636346567,Quantitative Analysis,Shweta A. Loonkar,4,"engineering,computer,semester 6,analysis"
636346568,Machine Learning,Pravin Goyal,3,"engineering,computer,semester 7,ml"
636346569,Machine Vision,Dr. Dhananjay K. Theckedath,2,"engineering,computer,semester 7,vision"
636346570,Information Retrieval,Dr. Kavita Sultanpure,4,"engineering,computer,semester 7,retrieval"
636346571,Blockchain,Dr. Rajesh D. Kadu,3,"engineering,computer,semester 7,chain"
636346572,Natural Language Processing,Dr. Suvarna Shirke-Pansambal,2,"engineering,computer,semester 7,language processing"
636346573,Quantum Computing,Tushar Agarwal,3,"engineering,computer,semester 7,computing"
636346574,Big Data Analytics,"Mahesh S. Mali,Sanjay R Mate",4,"engineering,computer,semester 7,data analytics"
636346575,Social Media Analytics,Prof. Vishal Kisan Borate,2,"engineering,computer,semester 8,media analytics"
636346576,Applied Data Science,Dr. Harshali Patil,4,"engineering,computer,semester 8,data science"
636346577,Distributed Computing,Dr. Rajesh D. Kadu,3,"engineering,computer,semester 8,computing"
636346578,Digital Forensics,Dr. Suvarna Shirke-Pansambal,4,"engineering,computer,semester 8,forensics"
636346579,Deep Learning,Dipali Y. Koshti,3,"engineering,computer,semester 8,learning"
636346580,Electrical Drives And Control,Prof. M. A. Chaudhari,3,"engineering,electrical,semester 7,drives"
636346581,Electrical Power System – III,Prof. S. M. Chaudhari,2,"engineering,electrical,semester 7,power, systems"
636346582,Power Quality And Facts,Mahesh D. Raut,4,"engineering,electrical,semester 8,quality, fact"
636346583,"Electrical System Design, Management And Auditing","S. M. Chaudhari, Amit L.",3,"engineering,electrical,semester 8,design,management"
636346585,Digital System Design,"J. S. Katre, Vaishali S. Joshi",3,"engineering,electronics and telecommunication,extc,semester 3,system design"
636346586,Electronics Devices And Circuits,J. S. Katre,4,"engineering,electronics and telecommunication,extc,semester 3,device and circuit"
636346587,Electronic Instrumentation And Control Systems,Dhananjay Theckedath,3,"engineering,electronics and telecommunication,extc,semester 3,control system,instrumentation"
636346588,Object Oriented Programming Methodology (For Practicals And Lab ),Harish G. Narula,3,"engineering,electronics and telecommunication,extc,semester 3,oops,programming methodology"
636346589,Microcontroller,Harish G. Narula,2,"engineering,electronics and telecommunication,extc,semester 4,mcu"
636346590,Linear Integrated Circuit,J.S. Katre,5,"engineering,electronics and telecommunication,extc,semester 4,integrated circuit"
636346591,Signals And Systems,J. S. Katre,3,"engineering,electronics and telecommunication,extc,semester 4,system"
636346592,Principles Of Communication Engineering,J. S. Katre,4,"engineering,electronics and telecommunication,extc,semester 4,communication"
636346593,Discrete Time Signal Processing,Dhananjay K.,3,"engineering,electronics and telecommunication,extc,semester 5,time signal processing"
636346594,Digital Vlsi,Poonam Kadam,4,"engineering,electronics and telecommunication,extc,semester 5,vlsi"
636346595,Random Signal Analysis,Dr. Narendrakumar R.,3,"engineering,electronics and telecommunication,extc,semester 5,signal analysis"
636346596,Sensor Technology,Ashwini Pendurkar,2,"engineering,electronics and telecommunication,extc,semester 5, technology"
636346597,Data Structure And Algorithm,Dilip Kumar Sultania,4,"engineering,electronics and telecommunication,extc,semester 5,structure,algorithm"
636346598,Digital Communication,J. S. Katre,3,"engineering,electronics and telecommunication,extc,semester 5,communication"
636346599,Web Technologies,Tulshiram Sule,2,"engineering,electronics and telecommunication,extc,semester 5,technology,technologies"
636346600,Communication Engineering,J. S. Katre,4,"engineering,electronics and telecommunication,extc,semester 5"
636346601,Digital Forensic,Dr. Suvarna Shirke - Pansambal,3,"engineering,electronics and telecommunication,extc,semester 6,forensic"
636346602,Electromagnetics And Antenna,"S. Gopal, Anuja A. Odhekar",2,"engineering,electronics and telecommunication,extc,semester 6,antenna"
636346603,Computer Networks,J. S. Katre,4,"engineering,electronics and telecommunication,extc,semester 6,network"
636346604,Digital Image Processing And Machine Vision,Dhananjay K. Theckedath,4,"engineering,electronics and telecommunication,extc,semester 6,image processing,machine vsion"
636346605,Artificial Neural Networks And Fuzzy Logic,Dipali Y. Koshti,3,"engineering,electronics and telecommunication,extc,semester 6,fuzzy logic,neural network"
636346606,Computer Communication Networks,J. S. Katre,3,"engineering,electronics and telecommunication,extc,semester 7,communication network"
636346607,Microwave Engineering,Dr. Anuja A. Odhekar,2,"engineering,electronics and telecommunication,extc,semester 7"
636346608,Cloud Computing And Security,Pravin Goyal,3,"engineering,electronics and telecommunication,extc,semester 7,computing,security"
636346609,Internet Communication Engineering,J. S. Katre,2,"engineering,electronics and telecommunication,extc,semester 7,communication network"
636346610,Mobile Communication System,J. S. Katre,3,"engineering,electronics and telecommunication,extc,semester 7,communication system"
636346611,Augmented And Virtual Reality,Dr. Nilesh T. Deotale,3,"engineering,electronics and telecommunication,extc,semester 8,ar,vr,virtual reality"
636346612,Rf Design,Mrs. Anuja A. Odhekar,2,"engineering,electronics and telecommunication,extc,semester 8,design"
636346613,Optical Communication And Networks,J. S. Katre,3,"engineering,electronics and telecommunication,extc,semester 8,communication and network"
636346614,Natural Language Processing,Dr. Suvarna Shirke,2,"engineering,electronics and telecommunication,extc,semester 8,language processing"
636346615,Satellite And Nano Satellite Communication,J. S. Katre,3,"engineering,electronics and telecommunication,extc,semester 8,nano satellite"
636346616,Network Management In Telecommunication,Nirav K. Patel,3,"engineering,electronics and telecommunication,extc,semester 8,management,telecommunication"
